12/04/2022 13:00,01000001101111001111010111000011,01000001101100011000010100011111
12/04/2022 13:01,01000001101111011000010100011111,01000001101100011001100110011010
12/04/2022 13:02,01000001101111100000000000000000,01000001101100011100001010001111
12/04/2022 13:03,01000001101111100111101011100001,01000001101100011010111000010100
12/04/2022 13:04,01000001101111100111101011100001,01000001101100011101011100001010
12/04/2022 13:05,01000001101111101111010111000011,01000001101100011100001010001111
12/04/2022 13:06,01000001101111101111010111000011,01000001101100011110101110000101
12/04/2022 13:07,01000001101111101111010111000011,01000001101100100000000000000000
12/04/2022 13:08,01000001101111111000010100011111,01000001101100100011110101110001
12/04/2022 13:09,01000001101111111000010100011111,01000001101100100110011001100110
12/04/2022 13:10,01000001110000000000000000000000,01000001101100101000111101011100
12/04/2022 13:11,01000001110000000111101011100001,01000001101100101100110011001101
12/04/2022 13:12,01000001110000000111101011100001,01000001101100110100011110101110
12/04/2022 13:13,01000001110000000111101011100001,01000001101100110000101000111101
12/04/2022 13:14,01000001110000001111010111000011,01000001101100110001111010111000
12/04/2022 13:15,01000001110000001111010111000011,01000001101100110101110000101001
12/04/2022 13:16,01000001110000001111010111000011,01000001101100111001100110011010
12/04/2022 13:17,01000001110000011000010100011111,01000001101100111101011100001010
12/04/2022 13:18,01000001110000001111010111000011,01000001101100111100001010001111
12/04/2022 13:19,01000001110000001111010111000011,01000001101100111101011100001010
12/04/2022 13:20,01000001110000011000010100011111,01000001101101000010100011110110
12/04/2022 13:21,01000001110000011000010100011111,01000001101101000010100011110110
12/04/2022 13:22,01000001110000100000000000000000,01000001101101000001010001111011
12/04/2022 13:23,01000001110000100000000000000000,01000001101101000000000000000000
12/04/2022 13:24,01000001110000100000000000000000,01000001101100111101011100001010
12/04/2022 13:25,01000001110000100000000000000000,01000001101101000000000000000000
12/04/2022 13:26,01000001110000100111101011100001,01000001101101000010100011110110
12/04/2022 13:27,01000001110000100000000000000000,01000001101101000110011001100110
12/04/2022 13:28,01000001110000100000000000000000,01000001101101000101000111101100
12/04/2022 13:29,01000001110000100111101011100001,01000001101101000110011001100110
12/04/2022 13:30,01000001110000100111101011100001,01000001101101000101000111101100
12/04/2022 13:31,01000001110000101111010111000011,01000001101101000101000111101100
12/04/2022 13:32,01000001110000101111010111000011,01000001101101000101000111101100
12/04/2022 13:33,01000001110000101111010111000011,01000001101101000101000111101100
12/04/2022 13:34,01000001110000111000010100011111,01000001101101000101000111101100
12/04/2022 13:35,01000001110000111000010100011111,01000001101101000111101011100001
12/04/2022 13:36,01000001110001000000000000000000,01000001101101001010001111010111
12/04/2022 13:37,01000001110000111000010100011111,01000001101101001010001111010111
12/04/2022 13:38,01000001110000111000010100011111,01000001101101001011100001010010
12/04/2022 13:39,01000001110000111000010100011111,01000001101101001100110011001101
12/04/2022 13:40,01000001110001000000000000000000,01000001101101001000111101011100
12/04/2022 13:41,01000001110001000000000000000000,01000001101101001100110011001101
12/04/2022 13:42,01000001110001000000000000000000,01000001101101001100110011001101
12/04/2022 13:43,01000001110001000000000000000000,01000001101101001110000101001000
12/04/2022 13:44,01000001110000111000010100011111,01000001101101001111010111000011
12/04/2022 13:45,01000001110001000000000000000000,01000001101101001111010111000011
